	gene_symbol
ARHGEF35	ARHGEF35
ARHGEF37	ARHGEF37
ARHGEF38	ARHGEF38
ARHGEF39	ARHGEF39
ARHGEF40	ARHGEF40
ARHGEF5	ARHGEF5
ARHGEF6	ARHGEF6
ARHGEF7	ARHGEF7
ARHGEF9	ARHGEF9
ARID1A	ARID1A
ARID1B	ARID1B
ARID2	ARID2
ARID3A	ARID3A
ARID3B	ARID3B
ARID4A	ARID4A
ARID4B	ARID4B
ARID5A	ARID5A
ARID5B	ARID5B
ARIH1	ARIH1
ARIH2	ARIH2
ARIH2OS	ARIH2OS
ARL1	ARL1
ARL10	ARL10
ARL11	ARL11
ARL13B	ARL13B
ARL14EP	ARL14EP
ARL15	ARL15
ARL16	ARL16
ARL17A	ARL17A
ARL17B	ARL17B
ARL2	ARL2
ARL2-SNX15	ARL2-SNX15
ARL2BP	ARL2BP
ARL3	ARL3
ARL4A	ARL4A
ARL4C	ARL4C
ARL4D	ARL4D
ARL5A	ARL5A
ARL5B	ARL5B
ARL6	ARL6
ARL6IP5	ARL6IP5
ARL6IP6	ARL6IP6
ARL8A	ARL8A
ARL8B	ARL8B
ARMC1	ARMC1
ARMC10	ARMC10
ARMC2	ARMC2
ARMC5	ARMC5
ARMC6	ARMC6
ARMC7	ARMC7
ARMC8	ARMC8
ARMC9	ARMC9
ARMCX1	ARMCX1
ARMCX3	ARMCX3
ARMCX4	ARMCX4
ARMCX5	ARMCX5
ARMCX6	ARMCX6
ARMH1	ARMH1
ARMH3	ARMH3
ARMH4	ARMH4
ARMT1	ARMT1
ARNT	ARNT
ARNTL	ARNTL
ARNTL2	ARNTL2
ARPC2	ARPC2
ARPC4	ARPC4
ARPC4-TTLL3	ARPC4-TTLL3
ARPC5	ARPC5
ARPC5L	ARPC5L
ARPIN-AP3S2	ARPIN-AP3S2
ARPP19	ARPP19
ARRB1	ARRB1
ARRB2	ARRB2
ARRDC1	ARRDC1
ARRDC2	ARRDC2
ARRDC3	ARRDC3
ARRDC3-AS1	ARRDC3-AS1
ARRDC4	ARRDC4
ARRDC5	ARRDC5
ARSA	ARSA
ARSB	ARSB
ARSD	ARSD
ARSG	ARSG
ARSK	ARSK
ARV1	ARV1
ASAH1	ASAH1
ASAP1	ASAP1
ASB1	ASB1
ASB13	ASB13
ASB14	ASB14
ASB15	ASB15
ASB2	ASB2
ASB3	ASB3
ASB6	ASB6
ASB7	ASB7
ASB8	ASB8
ASCC1	ASCC1
ASCC2	ASCC2
ASCC3	ASCC3
ASCL2	ASCL2
ASF1A	ASF1A
ASF1B	ASF1B
ASGR1	ASGR1
ASGR2	ASGR2
ASH1L	ASH1L
ASH2L	ASH2L
ASIC2	ASIC2
ASL	ASL
ASMTL	ASMTL
ASNA1	ASNA1
ASNSD1	ASNSD1
ASPH	ASPH
ASPHD2	ASPHD2
ASPSCR1	ASPSCR1
ASRGL1	ASRGL1
ASTE1	ASTE1
ASTN2	ASTN2
ASXL1	ASXL1
ASXL2	ASXL2
ATAD1	ATAD1
ATAD2	ATAD2
ATAD2B	ATAD2B
ATAD3A	ATAD3A
ATAD3B	ATAD3B
ATAD5	ATAD5
ATAT1	ATAT1
ATE1	ATE1
ATF1	ATF1
ATF2	ATF2
ATF3	ATF3
ATF4	ATF4
ATF5	ATF5
ATF6	ATF6
ATF6B	ATF6B
ATF7IP	ATF7IP
ATF7IP2	ATF7IP2
ATG10	ATG10
ATG101	ATG101
ATG12	ATG12
ATG13	ATG13
ATG14	ATG14
ATG16L1	ATG16L1
ATG16L2	ATG16L2
ATG2A	ATG2A
ATG2B	ATG2B
ATG3	ATG3
ATG4A	ATG4A
ATG4B	ATG4B
ATG4C	ATG4C
ATG4D	ATG4D
ATG5	ATG5
ATG7	ATG7
ATG9A	ATG9A
ATG9B	ATG9B
ATIC	ATIC
ATL1	ATL1
ATL2	ATL2
ATL3	ATL3
ATM	ATM
ATMIN	ATMIN
ATN1	ATN1
ATOX1	ATOX1
ATP10A	ATP10A
ATP10D	ATP10D
ATP11A	ATP11A
ATP11B	ATP11B
ATP11C	ATP11C
ATP13A1	ATP13A1
ATP13A2	ATP13A2
ATP13A3	ATP13A3
ATP1A1	ATP1A1
ATP1B1	ATP1B1
ATP1B3	ATP1B3
ATP23	ATP23
ATP2A2	ATP2A2
ATP2A3	ATP2A3
ATP2B1	ATP2B1
ATP2B1-AS1	ATP2B1-AS1
ATP2B4	ATP2B4
ATP2C1	ATP2C1
ATP5F1A	ATP5F1A
ATP5F1B	ATP5F1B
ATP5F1C	ATP5F1C
ATP5F1D	ATP5F1D
ATP5F1E	ATP5F1E
ATP5IF1	ATP5IF1
ATP5MC1	ATP5MC1
ATP5MC2	ATP5MC2
ATP5MC3	ATP5MC3
ATP5MD	ATP5MD
ATP5ME	ATP5ME
ATP5MG	ATP5MG
ATP5MPL	ATP5MPL
ATP5PB	ATP5PB
ATP5PD	ATP5PD
ATP5PF	ATP5PF
ATP6AP1	ATP6AP1
ATP6AP1L	ATP6AP1L
ATP6AP2	ATP6AP2
ATP6V0A1	ATP6V0A1
ATP6V0A2	ATP6V0A2
ATP6V0B	ATP6V0B
ATP6V0D1	ATP6V0D1
ATP6V0D2	ATP6V0D2
ATP6V0E1	ATP6V0E1
ATP6V0E2	ATP6V0E2
ATP6V1A	ATP6V1A
ATP6V1B2	ATP6V1B2
ATP6V1C1	ATP6V1C1
ATP6V1D	ATP6V1D
ATP6V1E1	ATP6V1E1
ATP6V1E2	ATP6V1E2
ATP6V1F	ATP6V1F
ATP6V1G1	ATP6V1G1
ATP6V1G2-DDX39B	ATP6V1G2-DDX39B
ATP6V1H	ATP6V1H
ATP7A	ATP7A
ATP8A1	ATP8A1
ATP8B1	ATP8B1
ATP8B2	ATP8B2
ATP8B3	ATP8B3
ATP8B4	ATP8B4
ATP9A	ATP9A
ATP9B	ATP9B
ATPAF1	ATPAF1
ATPAF2	ATPAF2
ATPSCKMT	ATPSCKMT
ATR	ATR
ATRAID	ATRAID
ATRIP	ATRIP
ATRN	ATRN
ATRX	ATRX
ATXN1	ATXN1
ATXN10	ATXN10
ATXN1L	ATXN1L
ATXN2	ATXN2
ATXN2L	ATXN2L
ATXN3	ATXN3
ATXN7	ATXN7
ATXN7L1	ATXN7L1
ATXN7L2	ATXN7L2
ATXN7L3	ATXN7L3
ATXN7L3B	ATXN7L3B
AUH	AUH
AUP1	AUP1
AURKA	AURKA
AURKAIP1	AURKAIP1
AUTS2	AUTS2
AVIL	AVIL
AVL9	AVL9
AVPI1	AVPI1
AXIN1	AXIN1
AXIN2	AXIN2
AXL	AXL
AZI2	AZI2
AZIN1	AZIN1
AZU1	AZU1
B2M	B2M
B3GALNT2	B3GALNT2
B3GALT4	B3GALT4
B3GALT6	B3GALT6
B3GAT1	B3GAT1
B3GAT2	B3GAT2
B3GAT3	B3GAT3
B3GLCT	B3GLCT
B3GNT10	B3GNT10
B3GNT2	B3GNT2
B3GNT5	B3GNT5
B3GNT7	B3GNT7
B3GNT8	B3GNT8
B3GNTL1	B3GNTL1
B4GALNT3	B4GALNT3
B4GALT1	B4GALT1
B4GALT3	B4GALT3
B4GALT4	B4GALT4
B4GALT5	B4GALT5
B4GALT7	B4GALT7
B4GAT1	B4GAT1
B9D2	B9D2
BABAM1	BABAM1
BABAM2	BABAM2
BACE1	BACE1
BACE2	BACE2
BACH1	BACH1
BACH2	BACH2
BAD	BAD
BAG1	BAG1
BAG2	BAG2
BAG3	BAG3
BAG4	BAG4
BAG5	BAG5
BAG6	BAG6
BAHD1	BAHD1
BAIAP2	BAIAP2
BAIAP2-DT	BAIAP2-DT
BAIAP2L1	BAIAP2L1
BAK1	BAK1
BANF1	BANF1
BANK1	BANK1
BANP	BANP
BAP1	BAP1
BARD1	BARD1
BASP1	BASP1
BATF	BATF
BATF3	BATF3
BAX	BAX
BAZ1A	BAZ1A
BAZ1B	BAZ1B
BAZ2A	BAZ2A
BAZ2B	BAZ2B
BBC3	BBC3
BBIP1	BBIP1
BBOF1	BBOF1
BBS2	BBS2
BBS4	BBS4
BBS7	BBS7
BBS9	BBS9
BBX	BBX
BCAP29	BCAP29
BCAP31	BCAP31
BCAR3	BCAR3
BCAS2	BCAS2
BCAS3	BCAS3
BCAS4	BCAS4
BCAT1	BCAT1
BCAT2	BCAT2
BCCIP	BCCIP
BCDIN3D	BCDIN3D
BCKDHB	BCKDHB
BCKDK	BCKDK
BCL10	BCL10
BCL11A	BCL11A
BCL11B	BCL11B
BCL2	BCL2
BCL2A1	BCL2A1
BCL2L1	BCL2L1
BCL2L11	BCL2L11
BCL2L12	BCL2L12
BCL2L13	BCL2L13
BCL2L14	BCL2L14
BCL2L2	BCL2L2
BCL2L2-PABPN1	BCL2L2-PABPN1
BCL3	BCL3
BCL6	BCL6
BCL7A	BCL7A
BCL7B	BCL7B
BCL7C	BCL7C
BCL9	BCL9
BCL9L	BCL9L
BCLAF1	BCLAF1
BCLAF3	BCLAF3
BCOR	BCOR
BCORL1	BCORL1
BCR	BCR
BCS1L	BCS1L
BDH1	BDH1
BDP1	BDP1
BECN1	BECN1
BEGAIN	BEGAIN
BEND6	BEND6
BEST1	BEST1
BET1	BET1
BET1L	BET1L
BEX1	BEX1
BEX2	BEX2
BEX3	BEX3
BEX4	BEX4
BEX5	BEX5
BFAR	BFAR
BHLHB9	BHLHB9
BHLHE40	BHLHE40
BICC1	BICC1
BICD1	BICD1
BICD2	BICD2
BICDL1	BICDL1
BICRAL	BICRAL
BID	BID
BIK	BIK
BIN1	BIN1
BIN2	BIN2
BIN3	BIN3
BIRC2	BIRC2
BIRC3	BIRC3
BIRC6	BIRC6
BISPR	BISPR
BIVM	BIVM
BIVM-ERCC5	BIVM-ERCC5
BLCAP	BLCAP
BLK	BLK
BLM	BLM
BLMH	BLMH
BLNK	BLNK
BLOC1S2	BLOC1S2
BLOC1S4	BLOC1S4
BLOC1S5-TXNDC5	BLOC1S5-TXNDC5
BLOC1S6	BLOC1S6
BLVRA	BLVRA
BLVRB	BLVRB
BLZF1	BLZF1
BMF	BMF
BMP2K	BMP2K
BMPR1A	BMPR1A
BMPR2	BMPR2
BMS1	BMS1
BMT2	BMT2
BNC2	BNC2
BNIP1	BNIP1
BNIP2	BNIP2
BNIP3	BNIP3
BNIP3L	BNIP3L
BNIPL	BNIPL
BOD1	BOD1
BOD1L1	BOD1L1
BOK	BOK
BOLA1	BOLA1
BOLA2	BOLA2
BOLA2B	BOLA2B
BOLA3	BOLA3
BOLL	BOLL
BOP1	BOP1
BORCS5	BORCS5
BORCS6	BORCS6
BORCS7	BORCS7
BORCS7-ASMT	BORCS7-ASMT
BORCS8-MEF2B	BORCS8-MEF2B
BPGM	BPGM
BPHL	BPHL
BPI	BPI
BPNT1	BPNT1
BPTF	BPTF
BRAF	BRAF
BRAP	BRAP
BRAT1	BRAT1
BRCA1	BRCA1
BRCA2	BRCA2
BRCC3	BRCC3
BRD1	BRD1
BRD2	BRD2
BRD3	BRD3
BRD3OS	BRD3OS
BRD4	BRD4
BRD7	BRD7
BRD8	BRD8
BRD9	BRD9
BRF1	BRF1
BRI3	BRI3
BRI3BP	BRI3BP
BRICD5	BRICD5
BRIP1	BRIP1
BRIX1	BRIX1
BRK1	BRK1
BRMS1	BRMS1
BRMS1L	BRMS1L
BROX	BROX
BRPF1	BRPF1
BRPF3	BRPF3
BRSK2	BRSK2
BRWD1	BRWD1
BRWD3	BRWD3
BSDC1	BSDC1
BSG	BSG
BST1	BST1
BST2	BST2
BTAF1	BTAF1
BTBD1	BTBD1
BTBD10	BTBD10
BTBD11	BTBD11
BTBD19	BTBD19
BTBD2	BTBD2
BTBD3	BTBD3
BTBD6	BTBD6
BTBD7	BTBD7
BTBD8	BTBD8
BTBD9	BTBD9
BTD	BTD
BTF3	BTF3
BTF3L4	BTF3L4
BTG1	BTG1
BTG2	BTG2
BTG3	BTG3
BTK	BTK
BTLA	BTLA
BTN2A1	BTN2A1
BTN2A2	BTN2A2
BTN3A1	BTN3A1
BTN3A2	BTN3A2
BTN3A3	BTN3A3
BTRC	BTRC
BUB1	BUB1
BUB3	BUB3
BUD13	BUD13
BUD23	BUD23
BUD31	BUD31
BYSL	BYSL
BZW1	BZW1
BZW2	BZW2
C10orf143	C10orf143
C10orf88	C10orf88
C11orf1	C11orf1
C11orf21	C11orf21
C11orf24	C11orf24
C11orf49	C11orf49
C11orf54	C11orf54
C11orf58	C11orf58
C11orf65	C11orf65
C11orf68	C11orf68
C11orf71	C11orf71
C11orf74	C11orf74
C11orf80	C11orf80
C11orf95	C11orf95
C12orf10	C12orf10
C12orf29	C12orf29
C12orf4	C12orf4
C12orf42	C12orf42
C12orf43	C12orf43
C12orf45	C12orf45
C12orf49	C12orf49
C12orf57	C12orf57
C12orf60	C12orf60
C12orf65	C12orf65
C12orf66	C12orf66
C12orf73	C12orf73
C12orf75	C12orf75
C12orf76	C12orf76
C14orf119	C14orf119
C14orf132	C14orf132
C14orf28	C14orf28
C14orf93	C14orf93
C15orf39	C15orf39
C15orf40	C15orf40
C15orf41	C15orf41
C15orf53	C15orf53
C15orf61	C15orf61
C16orf45	C16orf45
C16orf54	C16orf54
C16orf58	C16orf58
C16orf70	C16orf70
C16orf72	C16orf72
C16orf74	C16orf74
C16orf86	C16orf86
C16orf87	C16orf87
C16orf91	C16orf91
C16orf95	C16orf95
C17orf100	C17orf100
C17orf51	C17orf51
C17orf58	C17orf58
C17orf67	C17orf67
C17orf75	C17orf75
C17orf80	C17orf80
C17orf99	C17orf99
C18orf21	C18orf21
C18orf25	C18orf25
C18orf32	C18orf32
C18orf54	C18orf54
C19orf12	C19orf12
C19orf24	C19orf24
C19orf25	C19orf25
