	1	2	3	4	5	6	7	8	9	10	11
ABI3BP	-6.37709754656443e-05	1.9356488471642545e-05	9.805209632314926e-05	-3.359201371290721e-05	7.082581240680066e-05	-0.0001218302531876	-1.9785478424983425e-05	7.502055687311955e-05	2.9884642063733883e-05	-9.821233312884045e-05	0.0008673385752681
ABL1	-0.000272159181363	0.0005273965053349	3.963676805947793e-05	-0.0001888739466865	-7.38234570926987e-05	-0.0001811669642727	-9.801313302983086e-05	-0.0002636034216772	-0.0003437331144332	0.0002247403995991	-5.198607635026497e-05
ABL2	0.0001435805882339	0.0004479902114487	-0.0003993919906665	-0.000319318763451	-0.0001322318620256	-0.000341034909711	5.094989059358396e-05	-0.0001379675937141	5.258689986223043e-05	-0.0002041062410086	1.9844043706937956e-05
ABLIM1	-0.00015601287377	0.0001148339248979	-4.99156697736607e-05	-6.297047890204458e-05	-0.0001597699561944	-0.0001825732669073	-1.107457115869509e-05	-0.0001760829559973	3.775941256183671e-05	0.001288277859344	0.0061470974213431
ABLIM2	-0.0001097040598645	5.338600052345789e-05	0.0001522012863774	-2.792726489327847e-05	1.852278327103893e-05	-3.711415892983764e-06	-1.5394975412885786e-05	-9.272155333525053e-05	-8.12658805658647e-05	6.230308095254345e-05	0.0003676466013548
ABLIM3	-9.073409520730758e-05	-5.814827557503512e-05	-6.816895819369404e-05	-1.9580773269997065e-05	5.979609049911568e-05	-6.641355693701828e-05	-1.1710513568340766e-05	-4.656349113467384e-05	-4.597325324701117e-05	0.0031290851283206	-7.253053494671205e-05
ABO	-5.42328979718829e-05	0.0001331035038281	-1.8060484799054007e-05	7.395183487056282e-05	-0.0001541468022089	-7.038148901589142e-05	-7.280338037151037e-05	-0.0001460691544482	4.094636144619055e-05	0.0007014694997543	-4.738780744053617e-05
ABR	-0.0004347699791714	0.0004752187124249	-0.0002577732250739	-0.00038188181245	0.0003127276957469	-0.0002665301164524	0.0005680437124854	1.2349790431766772e-05	-9.707336894079047e-06	7.900119550299961e-05	-0.000292683660347
ABRA	-7.133227548621975e-05	5.279615101528405e-05	0.0001611277238437	-9.528597432421078e-05	6.325265907800622e-05	-0.0001213491812565	-1.9478666717280264e-05	1.2723555835478732e-05	9.38923041846004e-06	-1.3805142720093365e-06	-3.185121553579052e-05
ABRACL	-7.594112278577724e-05	-0.0004040794963087	0.0010136298302728	1.944999218257927e-05	-0.0003279033986056	0.0005583395275748	-0.0004661985539645	-0.0002465865626277	0.0001388733200538	-0.0001248093864108	0.0001647576257151
