	gene_symbol
AC140076.1	AC140076.1
AC141586.5	AC141586.5
AC142528.1	AC142528.1
AC144521.1	AC144521.1
AC144530.1	AC144530.1
AC144652.1	AC144652.1
AC144831.1	AC144831.1
AC147651.4	AC147651.4
AC159540.1	AC159540.1
AC159540.14	AC159540.14
ACAA1	ACAA1
ACAA2	ACAA2
ACACA	ACACA
ACACB	ACACB
ACAD10	ACAD10
ACAD11	ACAD11
ACAD8	ACAD8
ACAD9	ACAD9
ACADL	ACADL
ACADM	ACADM
ACADS	ACADS
ACADSB	ACADSB
ACADVL	ACADVL
ACAP1	ACAP1
ACAP2	ACAP2
ACAP3	ACAP3
ACAT1	ACAT1
ACAT2	ACAT2
ACBD3	ACBD3
ACBD4	ACBD4
ACBD5	ACBD5
ACBD6	ACBD6
ACCS	ACCS
ACD	ACD
ACER3	ACER3
ACIN1	ACIN1
ACKR4	ACKR4
ACLY	ACLY
ACN9	ACN9
ACO1	ACO1
ACO2	ACO2
ACOT1	ACOT1
ACOT13	ACOT13
ACOT2	ACOT2
ACOT4	ACOT4
ACOT7	ACOT7
ACOT8	ACOT8
ACOT9	ACOT9
ACOX1	ACOX1
ACOX3	ACOX3
ACOXL	ACOXL
ACP1	ACP1
ACP2	ACP2
ACP5	ACP5
ACP6	ACP6
ACPL2	ACPL2
ACPP	ACPP
ACRBP	ACRBP
ACRC	ACRC
ACSBG1	ACSBG1
ACSBG2	ACSBG2
ACSF2	ACSF2
ACSF3	ACSF3
ACSL1	ACSL1
ACSL3	ACSL3
ACSL4	ACSL4
ACSL5	ACSL5
ACSL6	ACSL6
ACSM1	ACSM1
ACSM2B	ACSM2B
ACSM3	ACSM3
ACSS1	ACSS1
ACSS2	ACSS2
ACSS3	ACSS3
ACTA1	ACTA1
ACTA2	ACTA2
ACTA2-AS1	ACTA2-AS1
ACTB	ACTB
ACTBP1	ACTBP1
ACTBP11	ACTBP11
ACTBP12	ACTBP12
ACTBP14	ACTBP14
ACTBP2	ACTBP2
ACTBP7	ACTBP7
ACTBP8	ACTBP8
ACTBP9	ACTBP9
ACTC1	ACTC1
ACTG1	ACTG1
ACTG1P1	ACTG1P1
ACTG1P12	ACTG1P12
ACTG1P13	ACTG1P13
ACTG1P9	ACTG1P9
ACTG2	ACTG2
ACTL10	ACTL10
ACTL6A	ACTL6A
ACTN1	ACTN1
ACTN4	ACTN4
ACTN4P1	ACTN4P1
ACTR10	ACTR10
ACTR1A	ACTR1A
ACTR1B	ACTR1B
ACTR2	ACTR2
ACTR3	ACTR3
ACTR3B	ACTR3B
ACTR3C	ACTR3C
ACTR3P2	ACTR3P2
ACTR3P3	ACTR3P3
ACTR5	ACTR5
ACTR6	ACTR6
ACTR8	ACTR8
ACTRT3	ACTRT3
ACVR1	ACVR1
ACVR1B	ACVR1B
ACVR1C	ACVR1C
ACVR2A	ACVR2A
ACVR2B	ACVR2B
ACY1	ACY1
ACY3	ACY3
ACYP1	ACYP1
ACYP2	ACYP2
AD000090.2	AD000090.2
AD000092.3	AD000092.3
AD000684.2	AD000684.2
ADA	ADA
ADAL	ADAL
ADAM10	ADAM10
ADAM12	ADAM12
ADAM15	ADAM15
ADAM17	ADAM17
ADAM19	ADAM19
ADAM1A	ADAM1A
ADAM20	ADAM20
ADAM22	ADAM22
ADAM23	ADAM23
ADAM28	ADAM28
ADAM8	ADAM8
ADAM9	ADAM9
