	gene_symbol
AC005261.1	AC005261.1
AC005261.2	AC005261.2
AC005261.3	AC005261.3
AC005264.1	AC005264.1
AC005277.1	AC005277.1
AC005277.2	AC005277.2
AC005280.1	AC005280.1
AC005280.2	AC005280.2
AC005288.1	AC005288.1
AC005291.1	AC005291.1
AC005291.2	AC005291.2
AC005293.1	AC005293.1
AC005301.2	AC005301.2
AC005303.1	AC005303.1
AC005304.1	AC005304.1
AC005304.2	AC005304.2
AC005304.3	AC005304.3
AC005306.1	AC005306.1
AC005307.1	AC005307.1
AC005323.1	AC005323.1
AC005323.2	AC005323.2
AC005324.1	AC005324.1
AC005324.3	AC005324.3
AC005324.4	AC005324.4
AC005324.5	AC005324.5
AC005329.1	AC005329.1
AC005329.2	AC005329.2
AC005329.3	AC005329.3
AC005330.1	AC005330.1
AC005332.1	AC005332.1
AC005332.2	AC005332.2
AC005332.3	AC005332.3
AC005332.4	AC005332.4
AC005332.5	AC005332.5
AC005332.6	AC005332.6
AC005332.7	AC005332.7
AC005332.8	AC005332.8
AC005339.1	AC005339.1
AC005342.1	AC005342.1
AC005342.2	AC005342.2
AC005343.1	AC005343.1
AC005343.4	AC005343.4
AC005355.1	AC005355.1
AC005358.1	AC005358.1
AC005358.2	AC005358.2
AC005363.2	AC005363.2
AC005381.1	AC005381.1
AC005383.1	AC005383.1
AC005387.1	AC005387.1
AC005387.2	AC005387.2
AC005391.1	AC005391.1
AC005392.2	AC005392.2
AC005392.3	AC005392.3
AC005393.1	AC005393.1
AC005394.1	AC005394.1
AC005400.1	AC005400.1
AC005410.2	AC005410.2
AC005414.1	AC005414.1
AC005476.2	AC005476.2
AC005479.1	AC005479.1
AC005479.2	AC005479.2
AC005480.1	AC005480.1
AC005481.1	AC005481.1
AC005482.1	AC005482.1
AC005486.1	AC005486.1
AC005487.1	AC005487.1
AC005495.2	AC005495.2
AC005498.1	AC005498.1
AC005498.2	AC005498.2
AC005498.3	AC005498.3
AC005515.2	AC005515.2
AC005518.1	AC005518.1
AC005519.1	AC005519.1
AC005520.2	AC005520.2
AC005520.3	AC005520.3
AC005520.5	AC005520.5
AC005522.1	AC005522.1
AC005523.1	AC005523.1
AC005523.2	AC005523.2
AC005529.1	AC005529.1
AC005532.1	AC005532.1
AC005534.1	AC005534.1
AC005537.1	AC005537.1
AC005538.1	AC005538.1
AC005538.3	AC005538.3
AC005540.1	AC005540.1
AC005544.1	AC005544.1
AC005544.2	AC005544.2
AC005546.1	AC005546.1
AC005548.1	AC005548.1
AC005550.1	AC005550.1
AC005550.2	AC005550.2
AC005552.1	AC005552.1
AC005562.1	AC005562.1
AC005580.1	AC005580.1
AC005586.1	AC005586.1
AC005586.2	AC005586.2
AC005592.1	AC005592.1
AC005594.1	AC005594.1
AC005597.1	AC005597.1
AC005599.1	AC005599.1
AC005606.1	AC005606.1
AC005606.2	AC005606.2
AC005609.1	AC005609.1
AC005609.2	AC005609.2
AC005609.3	AC005609.3
AC005609.4	AC005609.4
AC005609.5	AC005609.5
