	1	2	3	4	5	6	7	8	9	10	11	12
ABCA3	-3.286667694326324e-05	-8.60453296403172e-05	4.387496508900764e-06	1.0242849715326964e-05	4.148431891418417e-05	-0.0002523359726646	8.993213205265658e-05	-1.6492295722416394e-05	0.0007091333260842	0.0003558626110487	-0.0002706736239298	9.28800197821487e-06
ABCA4	3.251026038341676e-06	-6.80350170755237e-06	-0.0001674115709416	-0.000178303900886	0.0001086229733312	-3.083741962555717e-05	5.842691311701643e-05	-0.0001342019613025	0.0003395230132989	4.37823354405106e-05	-5.984307370438521e-05	0.0018866451977504
ABCA5	0.0012026449435048	-0.0004325493984899	-0.0009648277439238	-0.0001092077611975	0.0001269265331661	0.0001834232648631	-0.0001940565201077	-0.0002877901607761	-0.000568194665193	0.0001734519338942	-0.0002296907362383	0.0001325453923303
ABCA6	-1.0320386153221549e-05	-8.35716225945065e-05	-0.0003292077730154	0.0006943196751687	-6.793336311766007e-06	-6.170364236964665e-05	-1.767442737441512e-05	-0.0001138966873713	9.199084619314392e-05	-6.642178844892065e-05	-0.0002388277527244	-0.0001281242280859
ABCA7	9.922125114443345e-05	-0.0002555118614297	-0.0003548685761119	0.0003908982781495	0.0002443588881063	4.834094115510723e-05	-0.0002082581650278	-0.0001941915979459	0.0001414860057218	-0.0001284833553429	-0.0001767091470182	0.0009153112686573
ABCA8	0.0001411930303147	-5.856808423224808e-05	-7.007172131569347e-05	-7.05101502731002e-05	-3.177532543338384e-05	3.595732895563612e-05	-6.224284322367755e-05	8.459173800281484e-06	-9.812536119388738e-05	2.1199553043159586e-05	0.0004465641300581	-3.744413713414576e-05
ABCA9	0.0004171754738153	4.323200708107781e-05	-0.0002482618551174	-0.0002159656472195	-2.8493945323142525e-05	-1.942320098650442e-05	-9.807616384740917e-05	-0.0001707568831893	-0.0001783713487492	-0.0001016525506147	0.0002961840781904	3.405616005704424e-05
ABCB1	0.0001988370420843	-0.0002656220999723	-0.0001917734309385	-0.0002705868256927	-0.0002845434110332	0.0008848423075306	0.0002688613744361	-0.0003299239630521	0.0002495706865359	-9.909518243724568e-05	0.0001213274947946	-1.858001940552999e-05
ABCB10	0.0003826651256404	0.00014647931151	-0.0005118124684092	-0.0005200942841361	0.0004357298225031	-0.0004666302779693	-0.00014246780241	1.7315751100346384e-05	0.0003391293972556	-6.304562319339488e-05	0.0003228866433798	0.000527759185901
ABCB11	0.0001878587821926	8.29212646433368e-05	0.000162769812445	-0.0002417875040884	-9.938363194999134e-05	-0.000105117644156	6.687874426796617e-05	-0.0001001237867028	-0.0001166741085132	-3.689456542286421e-05	-0.0001703373036233	-9.359383804539916e-05
ABCB4	-0.0001604365747334	-0.0004466086448009	0.0007405014360698	-0.0004990045990236	0.0002584869618143	0.0001330712856982	0.0007604611785655	-0.0005652235435394	0.0005318336301464	-0.0001253498033594	-0.0005452526865368	-0.0002344824316216
ABCB5	4.535389819116575e-05	2.558294274562064e-05	6.138380833463312e-05	-4.515740432343944e-05	-7.02513759342692e-05	5.114089461253624e-05	-4.150455857487551e-05	-1.435826561637301e-05	-2.4243319774277653e-05	2.164614296839916e-05	4.54483884671316e-05	-7.363647543677273e-05
ABCB6	2.9127437459247216e-05	-5.705076709148666e-05	-0.0003306929609144	0.0002689884664721	3.2542719358730265e-05	0.0001166662127678	-2.7651832021376783e-05	5.797984671571247e-05	0.0002069282229777	0.0001288814941538	-0.0001590741321875	-0.0002117527537104
ABCB7	0.000738942010611	-0.0001065854687784	-0.0008162536653119	-0.0005418961284528	0.0003966291315252	0.0001913823069193	-8.7628140949346e-05	-0.0004723799476976	7.876872763549178e-05	1.0519840452581562e-05	-0.0001350738520707	8.971785264425896e-05
ABCB8	0.0002028483176323	-0.0002214419175403	-0.0003801972056784	0.0005919775626251	9.427242589458436e-05	3.650265222492743e-05	-0.0001745180466433	-8.519967384915524e-05	-0.0002306120802763	-0.0001866444961219	4.218407628658132e-05	-0.0002647137134434
ABCB9	-6.881545908934363e-05	0.0001031829017309	-0.0002465706069168	2.305777439879183e-05	0.0001533754226764	0.0002159256537808	-0.0001057254415045	-8.025123173260887e-05	-0.0001061763022805	4.075848587671592e-05	1.7125397898953254e-05	5.199222737858154e-05
ABCC1	0.0003461109781949	9.51297743696292e-05	-0.0012801163892713	-0.0013884059687654	0.0009059369151152	0.0005432167572486	0.0002977050439324	0.0001476153650045	0.0010512834168784	-0.0004080292079838	-0.0003376546672571	-4.599391248534017e-05
ABCC10	5.671949831628807e-05	1.398559379152872e-05	-0.000251857143882	-0.0001667090435055	0.0002296858564636	-6.805759062522581e-05	-0.0001262147515299	0.0002123452526751	-7.551360702432963e-05	-1.6045699654698364e-05	0.0004302125343463	-0.0002346368957388
